SKU,Stock Location,Stock available level at location,Stock level at location,Stock value at location,Category,ItemTitle,Purchase Price,Due Stock Value,Due,Is Variation Parent,Is Archived
HX100GSSDMSATA-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD MSATA LOW HEALTH USED,0,0,0,FALSE,FALSE
HX100GSSDSAS-U-LH,Default,0,0,0.00,ENT-SSD-SAS,100GB SAS SSD USED LOW HEALTH,1.8,1.8,1,FALSE,FALSE
HX100GSSDSATA3-U,Default,0,0,0.00,Trade SSD/SSHD USED,"100GB 2.5"" SATA SSD 90-100% Health",0.5,0,0,FALSE,FALSE
HX100GSSDSATA3-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSDSATA3 70-79% health USED,0.596659,0,0,FALSE,FALSE
HX100GSSDSATA3-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSDSATA3 80-89% health USED,0,0,0,FALSE,FALSE
HX100GSSDSATA3-UF,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSDSATA3  USED FAULTY,0,0,0,FALSE,FALSE
HX100GSSDSATA3-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSDSATA3 LOW HEALTH USED,1.5,0,0,FALSE,FALSE
HX100GSSDSATA3-U-LH,Sharjah,1,1,1.50,Trade SSD/SSHD USED,100GB SSDSATA3 LOW HEALTH USED,1.5,0,0,FALSE,FALSE
HX10TSSDM2-2242-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2242 70-79% health USED,0,0,0,FALSE,FALSE
HX10TSSDM2-2242-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2242 80-89% health USED,0,0,0,FALSE,FALSE
HX10TSSDM2-2242-UF,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2242  USED FAULTY,0,0,0,FALSE,FALSE
HX10TSSDM2-2242-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2242 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX10TSSDM2-2260-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2260 70-79% health USED,0,0,0,FALSE,FALSE
HX10TSSDM2-2260-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2260 80-89% health USED,0,0,0,FALSE,FALSE
HX10TSSDM2-2260-UF,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2260  USED FAULTY,0,0,0,FALSE,FALSE
HX10TSSDM2-2260-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2260 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX10TSSDM2-2280-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2280 70-79% health USED,0,0,0,FALSE,FALSE
HX10TSSDM2-2280-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2280 80-89% health USED,0,0,0,FALSE,FALSE
HX10TSSDM2-2280-UF,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2280  USED FAULTY,0,0,0,FALSE,FALSE
HX10TSSDM2-2280-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  2280 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX10TSSDM2PCIE-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2 PCIE 70-79% health USED,0,0,0,FALSE,FALSE
HX10TSSDM2PCIE-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2 PCIE 80-89% health USED,0,0,0,FALSE,FALSE
HX10TSSDM2PCIE-UF,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2 PCIE  USED FAULTY,0,0,0,FALSE,FALSE
