ItemNumber,Location,FinalStockLevel,FinalStockValue,PurchasePrice
341-0720-03,Default,2.0,8.51,4.255
3410-UF,Default,0.0,0.0,114.7833333
3420-UF,Default,1.0,116.17,116.17
3470-UF,Default,3.0,171.42,57.13999999999999
3470-UF,Sharjah Warehouse1,1.0,57.14,57.14
3480-UF,Default,0.0,0.0,0.0
3480-UF,Sharjah Warehouse1,1.0,0.0,0.0
3490-UF,Default,1.0,97.84277750000001,97.84277750000001
3490-UF,Sharjah Warehouse1,6.0,587.059998,97.84333299999999
3500-UF,Default,0.0,0.0,95.985942
3500-UF,Sharjah Warehouse1,2.0,191.98,95.99
3510-UF,Default,0.0,0.0,75.3189228
3510-UF,Sharjah Warehouse1,1.0,75.32,75.32
3520-UF,Default,0.0,0.0,105.89
3530-UF,Default,0.0,0.0,103.46
3541-UF,Default,0.0,0.0,0.0
3558U,Default,0.0,0.0,0.6310475389
3561-UF,Default,0.0,0.0,108.48
3570-UF,Default,1.0,77.41,77.41
3580-UF,Default,0.0,0.0,68.18095
3580-UF,Sharjah Warehouse1,2.0,136.36,68.18
3590-UF,Default,0.0,0.0,0.0
38A-C2D-035,Default,0.0,0.0,0.0
38B-876937-002732-83A,Default,0.0,0.0,1.0
39Y6127-HP,Default,2.0,0.02,0.01
39Y6138-HP,Default,0.0,0.0,0.01
3CRBSG2893,Default,5.0,10.0,2.0
3CRBSG5293,Default,1.0,2.0,2.0
3F15R-MZ-ILT1T9A,Default,0.0,0.0,11.99
3F15R-MZ-ILT1T9A-F,Default,1.0,16.51,16.51
3PRF0-PE,Default,0.0,0.0,6.0
40GBMSATA,Default,0.0,0.0,0.3
412646-001-HP,Default,3.0,2.56,0.8533333333333334
412646-001-LP,Default,1.0,0.1,0.1
414037-001,Default,1.0,1.0,1.0
41B-2ED-700,Default,0.0,0.0,0.01
424RR-HP,Default,0.0,0.0,0.85237
430G3-UF,Default,0.0,0.0,91.38
430G4-UF,Default,6.0,523.32,87.22000000000001
430G5-UF,Default,0.0,0.0,107.335
430G6-UF,Default,0.0,0.0,0.0
430G7-UF,Default,0.0,0.0,150.55
434982-001,Default,0.0,0.0,0.0
435506-003-HP,Default,0.0,0.0,0.553576125
435506-003-LP,Default,0.0,0.0,0.676185
440G3-UF,Default,1.0,91.85,91.85
440G4-UF,Default,1.0,94.29,94.29
440G5-UF,Default,1.0,94.29,94.29
440G5-UF,Sharjah Warehouse1,2.0,188.58,94.29
440G6-UF,Default,1.0,118.45,118.45
440G7-UF,Default,5.0,603.67,120.734
